,gene,plate,row,column,area.48,mean_intensity.48,corrected_area.48,corrected_mean_intensity.48
131,Filler,0,5,11,71.0,0.0010171905277360739,71.0,0.0010171905277360739
132,Filler,0,5,12,66.0,0.0010063980672556563,66.0,0.0010063980672556563
133,Filler,0,5,13,74.0,0.0010302712494582125,74.0,0.0010302712494582125
134,Filler,0,5,14,73.0,0.001023718421870409,73.0,0.001023718421870409
135,Filler,0,5,15,73.0,0.0010043832237098468,73.0,0.0010043832237098468
136,Filler,0,5,16,70.0,0.000980467809608587,70.0,0.000980467809608587
137,Filler,0,5,17,77.0,0.0009703572768938348,77.0,0.0009703572768938348
138,Filler,0,5,18,74.0,0.0009500821722495693,74.0,0.0009500821722495693
139,Filler,0,5,19,67.0,0.0009277458085489058,67.0,0.0009277458085489058
140,Filler,0,5,20,73.0,0.0008991310156216992,73.0,0.0008991310156216992
141,Filler,0,5,21,71.0,0.0009399565841177745,71.0,0.0009399565841177745
142,Filler,0,5,22,69.0,0.0009505604445033065,69.0,0.0009505604445033065
143,Filler,0,5,23,95.0,0.0010155687287034816,95.0,0.0010155687287034816
144,Sc_CCM 00,0,6,0,113.0,0.0004315395823539871,88.95744680851064,0.0003838842963523171
145,Filler,0,6,1,85.0,0.0009925868208949776,78.13664596273291,0.0009742418352801703
146,Sc_CCM 31,0,6,2,,,,
147,Filler,0,6,3,77.0,0.0009687596216976446,74.0,0.0009759000706712649
148,Sc_CCM 29,0,6,4,56.0,0.0009275141507813147,57.55555555555555,0.0009455810270180324
149,Filler,0,6,5,68.0,0.0009596042746908808,68.0,0.0009596042746908808
150,Sc_CCM 30,0,6,6,92.0,0.0010496672309315332,92.0,0.0010496672309315332
151,Filler,0,6,7,74.0,0.0010072184385148788,74.0,0.0010072184385148788
152,0.0,0,6,8,,,,
153,Filler,0,6,9,73.0,0.001023562109242023,73.0,0.001023562109242023
154,Sc_CCM 23,0,6,10,56.0,0.001411012232587509,56.0,0.001411012232587509
155,Filler,0,6,11,67.0,0.001017703546613721,67.0,0.001017703546613721
156,Sc_CCM 30,0,6,12,101.0,0.001094703912825771,101.0,0.001094703912825771
157,Filler,0,6,13,71.0,0.0010308712890286249,71.0,0.0010308712890286249
158,0.0,0,6,14,,,,
159,Filler,0,6,15,73.0,0.0010064995627456354,73.0,0.0010064995627456354
160,Sc_CCM 15,0,6,16,90.0,0.0012223045236005067,90.0,0.0012223045236005067
161,Filler,0,6,17,68.0,0.0009567012781001187,68.0,0.0009567012781001187
162,Sc_CCM 23,0,6,18,53.0,0.0013255283121989675,53.0,0.0013255283121989675
